y,x1,x2,x3
y01,ریاضی,16.39844263,نمرات مهر
y02,ریاضی,14.9535205,نمرات مهر
y03,ریاضی,17.1187541,نمرات مهر
y04,ریاضی,14.5187541,نمرات مهر
y05,ریاضی,17.1187541,نمرات مهر
y06,ریاضی,17.97968853,نمرات مهر
y07,ریاضی,13.35937705,نمرات مهر
y08,ریاضی,7.0,نمرات مهر
y09,ریاضی,13.2187541,نمرات مهر
y10,ریاضی,12.04218032,نمرات مهر
y11,ریاضی,15.52031147,نمرات مهر
y12,ریاضی,12.99922131,نمرات مهر
y13,ریاضی,11.33906558,نمرات مهر
y14,ریاضی,12.63906558,نمرات مهر
y15,ریاضی,14.07968853,نمرات مهر
y16,ریاضی,17.97968853,نمرات مهر
y17,ریاضی,20.0,نمرات مهر
y18,ریاضی,0.0,نمرات مهر
y19,ریاضی,0.0,نمرات مهر
y20,ریاضی,0.0,نمرات مهر
y21,ریاضی,0.0,نمرات مهر
y01,ریاضی,4.5,آزمون پایش
y02,ریاضی,6.0,آزمون پایش
y03,ریاضی,5.5,آزمون پایش
y04,ریاضی,2.0,آزمون پایش
y05,ریاضی,3.0,آزمون پایش
y06,ریاضی,7.5,آزمون پایش
y07,ریاضی,9.0,آزمون پایش
y08,ریاضی,3.5,آزمون پایش
y09,ریاضی,3.0,آزمون پایش
y10,ریاضی,10.25,آزمون پایش
y11,ریاضی,9.0,آزمون پایش
y12,ریاضی,7.0,آزمون پایش
y13,ریاضی,2.0,آزمون پایش
y14,ریاضی,5.25,آزمون پایش
y15,ریاضی,4.75,آزمون پایش
y16,ریاضی,6.75,آزمون پایش
y17,ریاضی,14.0,آزمون پایش
y18,ریاضی,16.25,آزمون پایش
y19,ریاضی,20.0,آزمون پایش
y20,ریاضی,0.0,آزمون پایش
y21,ریاضی,0.0,آزمون پایش
y01,ریاضی,11.03448276,آزمون پایش فصل ۱
y02,ریاضی,8.275862069,آزمون پایش فصل ۱
y03,ریاضی,8.965517241,آزمون پایش فصل ۱
y04,ریاضی,3.448275862,آزمون پایش فصل ۱
y05,ریاضی,4.827586207,آزمون پایش فصل ۱
y06,ریاضی,12.4137931,آزمون پایش فصل ۱
y07,ریاضی,12.4137931,آزمون پایش فصل ۱
y08,ریاضی,8.965517241,آزمون پایش فصل ۱
y09,ریاضی,8.275862069,آزمون پایش فصل ۱
y10,ریاضی,17.93103448,آزمون پایش فصل ۱
y11,ریاضی,15.17241379,آزمون پایش فصل ۱
y12,ریاضی,11.72413793,آزمون پایش فصل ۱
y13,ریاضی,5.517241379,آزمون پایش فصل ۱
y14,ریاضی,10.34482759,آزمون پایش فصل ۱
y15,ریاضی,9.655172414,آزمون پایش فصل ۱
y16,ریاضی,13.79310345,آزمون پایش فصل ۱
y17,ریاضی,19.31034483,آزمون پایش فصل ۱
y18,ریاضی,19.31034483,آزمون پایش فصل ۱
y19,ریاضی,20.0,آزمون پایش فصل ۱
y20,ریاضی,0.0,آزمون پایش فصل ۱
y21,ریاضی,0.0,آزمون پایش فصل ۱
y01,ریاضی,0.0,آزمون پایش فصل ۲
y02,ریاضی,7.692307692,آزمون پایش فصل ۲
y03,ریاضی,6.923076923,آزمون پایش فصل ۲
y04,ریاضی,2.307692308,آزمون پایش فصل ۲
y05,ریاضی,3.846153846,آزمون پایش فصل ۲
y06,ریاضی,8.461538462,آزمون پایش فصل ۲
y07,ریاضی,10.76923077,آزمون پایش فصل ۲
y08,ریاضی,0.0,آزمون پایش فصل ۲
y09,ریاضی,0.0,آزمون پایش فصل ۲
y10,ریاضی,11.53846154,آزمون پایش فصل ۲
y11,ریاضی,5.384615385,آزمون پایش فصل ۲
y12,ریاضی,7.692307692,آزمون پایش فصل ۲
y13,ریاضی,0.0,آزمون پایش فصل ۲
